"","counts","sample_id","age","muscle","rep"
"X10m_Sol_rep1",117.869009799141,"X10m_Sol_rep1","X10m","Sol","rep1"
"X10m_Sol_rep2",105.969544144826,"X10m_Sol_rep2","X10m","Sol","rep2"
"X10m_Sol_rep3",111.779340712157,"X10m_Sol_rep3","X10m","Sol","rep3"
"X10m_Sol_rep4",119.088477831996,"X10m_Sol_rep4","X10m","Sol","rep4"
"X10m_Sol_rep5",107.635004466581,"X10m_Sol_rep5","X10m","Sol","rep5"
"X10m_Sol_rep6",106.033853531133,"X10m_Sol_rep6","X10m","Sol","rep6"
"X30m_Sol_rep1",132.629535539373,"X30m_Sol_rep1","X30m","Sol","rep1"
"X30m_Sol_rep2",122.70480741229,"X30m_Sol_rep2","X30m","Sol","rep2"
"X30m_Sol_rep3",124.477490356897,"X30m_Sol_rep3","X30m","Sol","rep3"
"X30m_Sol_rep4",127.654579890996,"X30m_Sol_rep4","X30m","Sol","rep4"
"X30m_Sol_rep5",107.815434768704,"X30m_Sol_rep5","X30m","Sol","rep5"
"X10m_TA_rep1",185.587559106322,"X10m_TA_rep1","X10m","TA","rep1"
"X10m_TA_rep2",189.530152570845,"X10m_TA_rep2","X10m","TA","rep2"
"X10m_TA_rep3",185.080891685583,"X10m_TA_rep3","X10m","TA","rep3"
"X10m_TA_rep4",199.486876628939,"X10m_TA_rep4","X10m","TA","rep4"
"X10m_TA_rep6",161.593206663665,"X10m_TA_rep6","X10m","TA","rep6"
"X30m_TA_rep1",154.413907631581,"X30m_TA_rep1","X30m","TA","rep1"
"X30m_TA_rep2",128.274686125046,"X30m_TA_rep2","X30m","TA","rep2"
"X30m_TA_rep3",146.971195748426,"X30m_TA_rep3","X30m","TA","rep3"
"X30m_TA_rep4",155.718961532699,"X30m_TA_rep4","X30m","TA","rep4"
"X30m_TA_rep5",154.6463214953,"X30m_TA_rep5","X30m","TA","rep5"
"X30m_TA_rep6",155.023467745022,"X30m_TA_rep6","X30m","TA","rep6"
"X10m_TRI_rep1",156.169776289341,"X10m_TRI_rep1","X10m","TRI","rep1"
"X10m_TRI_rep2",156.130829792503,"X10m_TRI_rep2","X10m","TRI","rep2"
"X10m_TRI_rep3",150.293155660712,"X10m_TRI_rep3","X10m","TRI","rep3"
"X10m_TRI_rep4",161.645358831318,"X10m_TRI_rep4","X10m","TRI","rep4"
"X10m_TRI_rep5",157.68533733353,"X10m_TRI_rep5","X10m","TRI","rep5"
"X10m_TRI_rep6",177.750218699465,"X10m_TRI_rep6","X10m","TRI","rep6"
"X30m_TRI_rep1",165.66154156754,"X30m_TRI_rep1","X30m","TRI","rep1"
"X30m_TRI_rep2",147.814104263161,"X30m_TRI_rep2","X30m","TRI","rep2"
"X30m_TRI_rep3",136.788377092085,"X30m_TRI_rep3","X30m","TRI","rep3"
"X30m_TRI_rep4",159.068666416248,"X30m_TRI_rep4","X30m","TRI","rep4"
"X30m_TRI_rep5",162.532046063031,"X30m_TRI_rep5","X30m","TRI","rep5"
"X30m_TRI_rep6",172.598308838725,"X30m_TRI_rep6","X30m","TRI","rep6"
"X10m_GAS_rep1",194.242264617601,"X10m_GAS_rep1","X10m","GAS","rep1"
"X10m_GAS_rep2",161.959272040275,"X10m_GAS_rep2","X10m","GAS","rep2"
"X10m_GAS_rep3",216.232597007983,"X10m_GAS_rep3","X10m","GAS","rep3"
"X10m_GAS_rep4",196.474922101638,"X10m_GAS_rep4","X10m","GAS","rep4"
"X10m_GAS_rep5",181.081346866254,"X10m_GAS_rep5","X10m","GAS","rep5"
"X10m_GAS_rep6",201.627396417193,"X10m_GAS_rep6","X10m","GAS","rep6"
"X30m_GAS_rep1",157.761859109486,"X30m_GAS_rep1","X30m","GAS","rep1"
"X30m_GAS_rep2",178.362666554958,"X30m_GAS_rep2","X30m","GAS","rep2"
"X30m_GAS_rep3",166.533851415893,"X30m_GAS_rep3","X30m","GAS","rep3"
"X30m_GAS_rep4",177.008269184937,"X30m_GAS_rep4","X30m","GAS","rep4"
"X30m_GAS_rep5",158.009279913927,"X30m_GAS_rep5","X30m","GAS","rep5"
"X30m_GAS_rep6",186.284554018571,"X30m_GAS_rep6","X30m","GAS","rep6"
