"","counts","sample_id"
"X3M_CTRL_rep1",232.651366825034,"X3M_CTRL_rep1"
"X3M_CTRL_rep2",247.303600532515,"X3M_CTRL_rep2"
"X3M_CTRL_rep3",245.299390385994,"X3M_CTRL_rep3"
"X3M_CTRL_rep4",286.011530758664,"X3M_CTRL_rep4"
"X3M_CTRL_rep5",264.381507905327,"X3M_CTRL_rep5"
"X3M_TSCmKO_rep1",197.411214962014,"X3M_TSCmKO_rep1"
"X3M_TSCmKO_rep2",251.902932220861,"X3M_TSCmKO_rep2"
"X3M_TSCmKO_rep3",220.226412329213,"X3M_TSCmKO_rep3"
"X3M_TSCmKO_rep4",222.580566928175,"X3M_TSCmKO_rep4"
"X3M_TSCmKO_rep5",197.842693054226,"X3M_TSCmKO_rep5"
"X9M_CTRL_rep1",236.348716767412,"X9M_CTRL_rep1"
"X9M_CTRL_rep2",277.963876794954,"X9M_CTRL_rep2"
"X9M_CTRL_rep3",206.417896863137,"X9M_CTRL_rep3"
"X9M_CTRL_rep4",231.856109626073,"X9M_CTRL_rep4"
"X9M_CTRL_rep5",233.104730517332,"X9M_CTRL_rep5"
"X9M_TSCmKO_rep1",198.72158265144,"X9M_TSCmKO_rep1"
"X9M_TSCmKO_rep2",157.169332799913,"X9M_TSCmKO_rep2"
"X9M_TSCmKO_rep3",152.484660973021,"X9M_TSCmKO_rep3"
"X9M_TSCmKO_rep4",155.985434850088,"X9M_TSCmKO_rep4"
"X9M_TSCmKO_rep5",172.955858781242,"X9M_TSCmKO_rep5"
